Spanish,English
página,page
debería,should
país,country
encontrado,found
respuesta,answer
escuela,school
crecer,grow
estudio,study
todavía,still
aprender,learn
planta,plant
cubierta,cover
alimentos,food
sol,sun
cuatro,four
entre,between
estado,state
mantener,keep
ojo,eye
nunca,never
último,last
dejar,let
pensado,thought
ciudad,city
árbol,tree
cruzar,cross
granja,farm
duro,hard
inicio,start
podría,might
historia,story
sierra,saw
ahora,far
mar,sea
dibujar,draw
izquierda,left
tarde,late
ejecutar,run
no,don’t
mientras,while
prensa,press
Cerrar,close
noche,night
reales,real
vida,life
pocos,few
norte,north
libro,book
llevar,carry
tomó,took
ciencia,science
comer,eat
habitación,room
amigo,friend
comenzó,began
gusta,idea
peces,fish
montaña,mountain
Deténgase,stop
una vez,once
base de,base
caballo,horse
cortada,cut
seguro,sure
ver,watch
cara,face
madera,wood
principal,main
abierta,open
parecer,seem
juntos,together
próximo,next
blanco,white
niños,children
comenzar,begin
conseguido,got
ejemplo,example
aliviar,ease
papel,paper
grupo,group
siempre,always
música,music
los,those
ambos,both
menudo,often
carta,letter
hasta,until
milla,mile
río,river
coche,car
pies,feet
cuidado,care
segundo,second
suficiente,enough
llano,plain
chica,girl
habitual,usual
joven,young
listo,ready
por encima de,above
nunca,ever
rojo,red
lista,list
aunque,though
sentir,feel
charla,talk
pájaro,bird
pronto,soon
perro,dog
familia,family
directa,direct
plantear,pose
dejar,leave
canción,song
medir,measure
puerta,door
producto,product
negro,black
corto,short
numeral,numeral
clase,class
viento,wind
pregunta,question
suceder,happen
completo,complete
buque,ship
zona,area
medio,half
roca,rock
orden,order
fuego,fire
sur,south
problema,problem
pieza,piece
dicho,told
sabía,knew
pasar,pass
desde,since
cima,top
todo,whole
calle,street
pulgadas,inch
nada,nothing
curso,course
quedarse,stay
rueda,wheel
completo,full
fuerza,force
azul,blue
objeto,object
decidir,decide
superficie,surface
profunda,deep
luna,moon
isla,island
pie,foot
sistema,system
ocupado,busy
prueba,test
registro,record
barco,boat
común,common
oro,gold
posible,possible
plano,plane
lugar,stead
seco,dry
maravilla,wonder
risa,laugh
mil,thousand
hace,ago
corrió,ran
comprobar,check
juego,game
forma,shape
equiparar,equate
caliente,hot
señorita,miss
traído,brought
calor,heat
nieve,snow
neumáticos,tire
traer,bring
sí,yes
distante,distant
llenar,fill
al este,east
pintar,paint
idioma,language
entre,among
unidad,unit
potencia,power
fina,fine
cierto,certain
volar,fly
caer,fall
conducir,lead
grito,cry
oscuro,dark
máquina,machine
nota,note
espere,wait
plan de,plan
figura,figure
estrella,star
caja,box
sustantivo,noun
campo,field
correcta,correct
capaz,able
libra,pound
hecho,done
belleza,beauty
unidad,drive
destacado,stood
contener,contain
delante,front
enseñar,teach
semana,week
último,final
dio,gave
verde,green
rápido,quick
desarrollar,develop
océano,ocean
caliente,warm
libre,free
minuto,minute
fuerte,strong
especial,special
mente,mind
detrás,behind
claro,clear
cola,tail
Produce,produce
hecho,fact
espacio,space
oído,heard
mejor,best
horas,hour
mejor,better
verdadero,TRUE
durante,during
cien,hundred
cinco,five
recordar,remember
paso,step
temprana,early
mantenga,hold
oeste,west
suelo,ground
llegar,reach
rápido,fast
cantar,sing
escuchar,listen
seis,six
mesa,table
viajes,travel
menos,less
mañana,morning
diez,ten
sencilla,simple
varios,several
vocal,vowel
hacia,toward
guerra,war
sentar,lay
contra,against
patrón,pattern
lenta,slow
centro,center
amar,love
persona,person
dinero,money
servir,serve
aparecerá,appear
carretera,road
mapa,map
gobernar,govern
Halar,pull
frío,cold
aviso,notice
voz,voice
