Dutch,English
Nederlands,Dutch
oog,eye
beetje,bit
zoveel,this much
zes,six
meteen,immediately
bovendien,moreover
woord,word
graag,with pleasure
beide,both
kiezen,select
hopen,to hope
laat,leave
vol,full
daarna,then
lezen,read
verschillend,different
betalen,Pay
miljoen,million
partij,side
soort,kind
ooit,ever
ding,thing
weg,away
sommige,some
ieder,everyone
leiden,lead
slechts,only
niemand,no one
wachten,to wait
welk,which
sluiten,Close
boven,upper
verwachten,to expect
nee,no
foto,photo
wonen,live
helpen,help out
punt,point
raken,touch
leren,to learn
dezelfde,the same
hard,hard
feit,fact
leven,to live
titel,title
reden,rode
slaan,to beat
afgelopen,past
volledig,fully
inderdaad,indeed
thuis,At home
half,half
open,Open
vriend,friend
langs,by
hoofd,head
uiteindelijk,in the end
bedrijf,company
kant,side
voorbij,past
rijden,to drive
gemakkelijk,easy
zodat,so that
vrij,free
politie,Police
verhaal,story
artikel,article
boek,book
onderzoek,research
kopen,to buy
zowel,both
betekenen,mean
bezig,in process
gevolg,consequence
school,school
hangen,to hang
plan,plan
wanneer,when
daarmee,with that
extra,additional
pakken,to grab
nadat,once
ruim,roomy
voeren,feed
ongeveer,about
idee,idea
zin,sentence
zondag,Sunday
geloven,to believe
zaterdag,Saturday
hoeven,hooves
staat,state
veranderen,change
leuk,nice
bieden,offer
auto,car
rest,rest
vader,father
familie,family
precies,precisely
steken,stiches
trouwens,Incidentally
begrijpen,to understand
moeder,mother
stoppen,stop
lid,member
leveren,to deliver
laag,low
tonen,to show
waarbij,whereby
praten,to talk
vorm,form
zichzelf,itself
hetzelfde,same
juist,right
meter,meter
rol,role
prijs,price
tellen,to count
reageren,react
waarvan,from what
jongen,boy
waarop,on which
dienst,employ
ervan,of it
draaien,to spin
roepen,call
daarvoor,therefor
gelukkig,happy
sturen,send
dragen,to wear
verkopen,to sell
resultaat,result
minuut,minute
niks,nothing
verdwijnen,to disappear
daarbij,thereby
totaal,total
meestal,mostly
succes,good luck
besluiten,decide
kosten,cost
straat,street
ouder,older
organiseren,to organize
bijzonder,special
acht,eight
duren,to last
water,water
wijzen,point
terecht,justly
vormen,to shape
persoon,person
waarschijnlijk,probably
zeven,seven
waardoor,Causing
klinken,sound
periode,period of time
merken,brands
helft,half
recht,straight
opzetten,Setting up
gebruik,usage
gevoel,feeling
beeld,image
grand,grand
normaal,normal
bouwen,to build
zoon,son
deur,door
rood,red
ontstaan,to arise
meisje,girl
enorm,enormous
nacht,night
hoewel,although
uw,your
gelijk,equal
vergeten,to forget
bereiken,to achieve
algemeen,generally
passen,to suit
richten,to target
verschil,difference
programma,program
lachen,laugh
groeien,to grow
verdienen,to deserve
verschijnen,to appear
krant,newspaper
eten,to eat
nummer,number
belang,interest
jullie,you
situatie,situation
kilometer,kilometer
toekomst,future
zwart,black
verklaren,explain
honderd,hundred
bepaald,determined
aandacht,attention
waarmee,by which
daardoor,thereby
speciaal,special
beslissen,to decide
bepalen,determine
dochter,daughter
plaatsen,place
stem,voice
Frans,French
dienen,serve
gebied,area
richting,direction
vertrekken,leave
openen,to open
voorkomen,to prevent
dood,dead
missen,to miss
morgen,tomorrow
antwoord,answer
heten,to be named
persoonlijk,personal
voorbeeld,sample
weekend,weekend
slagen,to succeed
doel,goal
gelden,to apply
stappen,steps
licht,light
klaar,finished
muziek,music
